Sum of co2_per_capita,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.21,0.182,0.095,0.084,0.075,0.068,0.062,0.056,0.052,0.04,0.036,0.037,0.046,0.05,0.036,0.051,0.062,0.084,0.152,0.237,0.288,0.402,0.328,0.262,0.233,0.23,0.191,0.189,0.224,0.319,0.312
Africa,1.052,1.068,1.01,1.043,1.029,1.077,1.066,1.079,1.085,1.05,1.094,1.064,1.049,1.109,1.16,1.155,1.161,1.176,1.197,1.176,1.172,1.181,1.146,1.123,1.184,1.119,1.119,1.113,1.086,1.077,0.99
Albania,1.657,1.289,0.769,0.725,0.608,0.664,0.643,0.494,0.561,0.953,0.96,1.029,1.199,1.357,1.322,1.36,1.255,1.262,1.423,1.431,1.509,1.718,1.602,1.697,1.941,1.555,1.556,1.838,1.642,1.688,1.576
Algeria,2.979,2.985,2.956,2.965,3.053,3.303,3.307,2.925,3.531,2.993,2.649,2.664,2.807,2.822,2.687,3.212,2.979,3.173,3.139,3.401,3.275,3.268,3.427,3.472,3.662,3.768,3.673,3.743,3.824,3.871,3.535
Andorra,7.461,7.177,6.907,6.73,6.489,6.656,7.059,7.235,7.655,7.969,8.013,7.78,7.584,7.31,7.352,7.294,6.74,6.514,6.423,6.117,6.117,5.862,5.912,5.897,5.828,5.966,6.068,6.044,6.423,6.505,6.035
Angola,0.43,0.413,0.408,0.44,0.286,0.785,0.724,0.494,0.473,0.575,0.58,0.571,0.719,0.496,0.997,0.978,1.097,1.195,1.175,1.224,1.236,1.252,1.346,1.277,1.236,1.206,1.089,0.953,0.791,0.738,0.675
Anguilla,5.768,5.614,5.889,6.949,6.827,6.683,6.881,6.702,7.202,7.342,7.819,8.269,8.103,8.554,9.886,10.307,11.287,11.68,11.506,11.063,11.181,10.498,10.359,8.404,9.865,10.777,10.661,9.795,9.696,9.378,8.227
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,3.516,3.354,3.24,3.286,3.217,3.255,3.394,3.577,3.703,3.778,3.856,3.844,4.212,4.435,4.56,4.588,4.651,4.84,4.891,5.111,5.161,4.967,5.066,5.045,4.988,5.13,5.194,5.145,5.176,5.008,4.395
Argentina,3.436,3.552,3.616,3.467,3.553,3.668,3.823,3.86,3.867,4.039,3.861,3.595,3.301,3.535,4.08,4.151,4.444,4.391,4.693,4.42,4.566,4.605,4.591,4.506,4.425,4.467,4.389,4.274,4.082,3.742,3.473
Armenia,2.533,2.079,1.703,0.766,0.826,1.067,0.819,1.044,1.093,0.987,1.137,1.158,1.014,1.145,1.23,1.468,1.488,1.739,1.917,1.511,1.478,1.727,1.993,1.91,1.924,1.87,1.772,1.88,1.974,1.869,1.988
Aruba,7.841,8.221,7.893,8.946,8.598,8.804,8.718,8.876,9.236,9.097,26.17,25.914,25.65,26.399,26.494,27.179,26.927,27.871,26.207,25.895,24.651,24.486,13.146,8.346,8.403,8.604,8.421,8.45,8.239,8.006,7.055
Asia,2.055,2.12,2.179,2.243,2.305,2.363,2.422,2.419,2.312,2.351,2.431,2.445,2.55,2.76,2.972,3.149,3.321,3.46,3.598,3.703,3.928,4.172,4.293,4.308,4.334,4.317,4.294,4.35,4.442,4.48,4.379
Asia (excl. China & India),3.033,3.119,3.183,3.22,3.253,3.211,3.249,3.25,3.098,3.191,3.356,3.362,3.403,3.51,3.609,3.643,3.694,3.728,3.746,3.734,3.885,3.956,4.073,4.023,4.043,4.092,4.097,4.152,4.139,4.163,3.959
Australia,16.471,16.398,16.454,16.55,16.86,17.119,17.391,17.79,18.222,18.448,18.525,18.779,18.922,19.019,19.455,19.209,19.355,19.216,19.203,18.451,18.26,17.985,17.581,16.907,16.92,16.851,17.143,16.87,16.708,16.447,15.368
Austria,8.045,8.458,7.692,7.686,7.68,8.011,8.401,8.372,8.318,8.153,8.196,8.662,8.844,9.473,9.452,9.58,9.269,8.913,8.808,8.037,8.561,8.267,7.911,7.919,7.447,7.645,7.684,7.891,7.486,7.589,6.732
Azerbaijan,7.094,6.8,7.518,6.385,5.459,4.284,3.977,3.76,3.963,3.547,3.633,3.512,3.581,3.662,3.797,4.016,4.532,3.491,4.018,3.57,3.391,3.605,3.783,3.752,3.89,3.844,3.806,3.731,3.703,3.854,3.72
Bahamas,7.894,7.651,7.024,6.434,6.416,6.565,6.387,5.597,6.846,6.915,6.798,6.429,6.622,6.611,6.423,5.865,5.601,5.549,5.576,5.576,5.358,5.879,6.359,7.365,6.554,5.708,5.235,5.49,7.002,6.772,5.945
Bahrain,25.015,23.259,20.788,27.244,26.846,26.231,26.942,29.06,29.927,28.26,28.278,20.182,21.585,21.535,21.55,22.273,20.264,25.843,26.628,23.71,23.432,22.272,20.785,23.573,23.066,23.669,22.004,21.814,20.778,20.984,20.546
Bangladesh,0.136,0.14,0.142,0.146,0.156,0.183,0.183,0.192,0.189,0.2,0.208,0.239,0.241,0.248,0.262,0.271,0.296,0.299,0.314,0.337,0.366,0.379,0.402,0.404,0.427,0.469,0.484,0.507,0.512,0.578,0.564
Barbados,4.101,4.589,3.703,4.171,2.788,3.033,3.08,3.312,4.082,4.298,4.241,4.353,4.387,4.539,4.612,4.774,4.839,4.89,5.759,5.682,5.189,5.359,5.143,5.056,4.428,4.421,4.49,4.087,4.31,4.234,3.782
Belarus,10.221,9.525,8.751,7.553,6.184,5.706,5.812,5.886,5.757,5.532,5.542,5.582,5.601,5.796,6.218,6.393,6.718,6.677,6.923,6.471,6.664,6.546,6.655,6.711,6.638,6.148,6.336,6.361,6.449,6.456,6.079
Belgium,12.023,12.289,12.156,12.001,12.289,12.364,12.684,12.127,12.719,12.16,12.324,12.217,12.24,12.309,12.288,11.913,11.666,11.262,11.15,9.918,10.471,9.536,9.236,9.203,8.632,8.952,8.796,8.708,8.729,8.644,7.226
Belize,1.66,2.128,1.829,1.91,1.853,1.824,1.44,1.753,1.607,1.456,1.6,1.752,1.648,1.605,1.418,1.485,1.522,1.593,1.421,1.642,1.67,1.675,1.333,1.272,1.327,1.776,1.691,1.638,1.578,1.687,1.466
Benin,0.127,0.142,0.148,0.173,0.192,0.189,0.189,0.19,0.172,0.219,0.214,0.239,0.289,0.318,0.335,0.312,0.408,0.465,0.451,0.472,0.509,0.474,0.452,0.456,0.466,0.504,0.607,0.621,0.632,0.62,0.553
Bermuda,8.145,8.686,7.4,8.583,8.42,8.375,8.274,8.175,8.08,7.928,7.946,8.076,8.483,8.502,8.806,8.792,9.846,11.026,9.835,7.253,9.302,6.813,5.66,8.309,10.47,8.456,9.773,9.997,11.325,11.166,10.028
Bhutan,0.242,0.328,0.383,0.323,0.379,0.442,0.524,0.68,0.653,0.644,0.648,0.611,0.651,0.574,0.455,0.583,0.57,0.562,0.598,0.544,0.678,0.963,1.101,1.201,1.319,1.326,1.57,1.662,1.903,2.526,2.495
Bolivia,0.834,0.852,0.925,1.066,1.151,1.286,1.296,1.418,1.389,1.298,1.026,0.966,0.959,1.121,1.123,1.21,1.229,1.325,1.394,1.44,1.535,1.664,1.713,1.811,1.935,1.958,2.066,2.105,2.101,2.071,1.773
Bonaire Sint Eustatius and Saba,18.966,14.661,11.64,17.329,16.158,15.733,14.657,15.421,0.862,6.575,17.742,18.394,18.051,18.23,18.946,18.109,17.718,18.38,16.202,15.325,9.904,12.028,13.636,13.714,13.397,13.272,13.474,13.704,13.539,13.076,11.466
Bosnia and Herzegovina,4.327,3.12,3.55,3.084,0.814,0.888,1.126,2.239,2.825,2.76,3.653,3.532,3.77,3.816,4.108,4.262,4.618,4.644,5.316,5.497,5.707,6.49,6.14,6.154,5.546,5.383,6.418,6.51,6.641,7.527,6.528
Botswana,2.099,1.986,2.037,2.284,2.113,2.072,1.831,1.817,2.12,1.961,2.299,2.297,2.332,2.206,2.206,2.275,2.251,2.254,2.351,1.974,2.283,1.999,2.489,2.746,3.28,2.558,2.932,3.201,3.354,3.006,2.772
Brazil,1.468,1.513,1.514,1.558,1.593,1.658,1.758,1.836,1.869,1.899,1.946,1.954,1.937,1.896,1.964,1.958,1.96,2.054,2.149,2.01,2.25,2.342,2.5,2.648,2.752,2.589,2.39,2.409,2.309,2.302,2.199
British Virgin Islands,3.771,4.069,4.569,4.682,5.188,5.693,6.01,5.964,6.1,6.038,6.133,6.203,6.416,6.762,7.22,7.77,7.626,7.46,7.301,7.048,7.118,7.114,7.033,6.985,7.332,7.291,7.239,5.7,5.411,5.239,4.605
Brunei,23.92,19.93,19.023,17.625,16.203,16.106,15.565,15.809,16.165,11.659,13.78,12.909,12.267,12.653,13.558,13.337,12.795,22.162,23.698,20.176,20.741,24.244,23.793,18.863,21.781,16.761,17.971,22.503,22.362,22.982,23.22
Bulgaria,8.675,7.017,6.612,6.813,6.656,6.916,7.055,6.802,6.534,5.749,5.685,6.176,5.868,6.475,6.402,6.59,6.8,7.357,7.188,6.13,6.446,7.207,6.591,5.855,6.241,6.705,6.362,6.699,6.188,6.032,5.389
Burkina Faso,0.066,0.069,0.068,0.066,0.066,0.062,0.068,0.075,0.078,0.081,0.089,0.083,0.082,0.085,0.084,0.084,0.098,0.112,0.118,0.121,0.13,0.132,0.158,0.168,0.166,0.182,0.181,0.205,0.218,0.213,0.19
Burundi,0.038,0.043,0.038,0.039,0.04,0.04,0.04,0.041,0.04,0.04,0.042,0.031,0.032,0.023,0.028,0.021,0.024,0.026,0.026,0.02,0.034,0.04,0.041,0.042,0.038,0.038,0.045,0.049,0.061,0.061,0.051
Cambodia,0.14,0.14,0.14,0.139,0.138,0.141,0.138,0.13,0.162,0.159,0.162,0.181,0.174,0.185,0.187,0.209,0.222,0.254,0.28,0.323,0.356,0.357,0.369,0.371,0.425,0.549,0.668,0.804,0.792,0.93,0.917
Cameroon,0.221,0.22,0.217,0.223,0.215,0.236,0.257,0.22,0.213,0.198,0.216,0.209,0.203,0.22,0.223,0.202,0.206,0.304,0.282,0.333,0.328,0.312,0.287,0.23,0.302,0.332,0.327,0.313,0.315,0.286,0.26
Canada,16.63,16.125,16.423,16.253,16.572,16.834,17.211,17.526,17.62,17.943,18.522,18.104,18.111,18.494,18.254,17.904,17.562,18.058,17.379,16.198,16.364,16.499,16.301,16.254,15.998,15.907,15.38,15.5,15.63,15.567,14.197
Cape Verde,0.282,0.286,0.299,0.3,0.302,0.313,0.361,0.362,0.382,0.436,0.505,0.538,0.62,0.684,0.722,0.95,1.007,1.064,0.975,1.069,1.13,1.234,0.994,0.967,0.94,0.936,1.014,1.077,1.098,1.095,0.989
Central African Republic,0.065,0.066,0.066,0.065,0.067,0.065,0.064,0.064,0.063,0.065,0.064,0.066,0.064,0.058,0.056,0.054,0.055,0.055,0.039,0.037,0.038,0.042,0.043,0.026,0.028,0.04,0.044,0.047,0.047,0.044,0.039
Chad,0.063,0.062,0.064,0.061,0.06,0.06,0.06,0.06,0.059,0.059,0.058,0.058,0.056,0.079,0.077,0.076,0.076,0.079,0.083,0.082,0.083,0.09,0.048,0.05,0.072,0.049,0.07,0.069,0.068,0.063,0.056
Chile,2.478,2.293,2.331,2.435,2.648,2.856,3.264,3.749,3.791,4.016,3.787,3.387,3.473,3.462,3.686,3.765,3.91,4.276,4.237,3.903,4.179,4.53,4.579,4.656,4.368,4.554,4.635,4.55,4.507,4.545,4.246
China,2.111,2.185,2.263,2.397,2.52,2.706,2.799,2.781,2.642,2.614,2.665,2.706,2.962,3.456,3.948,4.416,4.848,5.185,5.539,5.794,6.295,6.922,7.062,7.151,7.135,7,6.874,6.981,7.208,7.316,7.412
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1.719,1.678,1.786,1.805,1.868,1.614,1.612,1.71,1.698,1.404,1.42,1.39,1.356,1.376,1.297,1.408,1.435,1.376,1.506,1.621,1.687,1.666,1.73,1.88,1.888,1.935,1.936,1.764,1.709,1.796,1.751
Comoros,0.16,0.156,0.16,0.163,0.158,0.162,0.165,0.168,0.178,0.18,0.189,0.191,0.187,0.232,0.245,0.234,0.263,0.166,0.167,0.201,0.234,0.202,0.213,0.247,0.212,0.231,0.272,0.329,0.352,0.359,0.297
Congo,0.428,0.447,0.518,0.453,0.672,0.438,0.481,0.67,0.12,0.119,0.181,0.238,0.174,0.269,0.27,0.275,0.301,0.312,0.332,0.416,0.459,0.51,0.653,0.694,0.655,0.711,0.743,0.698,0.691,0.612,0.565
Cook Islands,2.215,2.188,2.158,2.322,2.304,2.301,2.514,2.554,2.601,2.64,2.656,2.034,1.404,1.575,2.715,3.266,2.878,2.701,2.727,2.561,3.188,3.624,3.866,3.904,3.936,3.96,3.973,4.396,4.392,4.52,4.522
Costa Rica,0.934,1.027,1.138,1.154,1.503,1.354,1.29,1.322,1.376,1.4,1.361,1.405,1.523,1.581,1.619,1.569,1.612,1.807,1.79,1.714,1.637,1.578,1.549,1.609,1.616,1.528,1.617,1.679,1.645,1.747,1.552
Cote d'Ivoire,0.401,0.348,0.3,0.384,0.301,0.431,0.5,0.464,0.422,0.37,0.393,0.439,0.404,0.292,0.408,0.408,0.363,0.341,0.336,0.275,0.295,0.302,0.387,0.431,0.43,0.405,0.495,0.485,0.409,0.408,0.382
Croatia,4.811,3.568,3.459,3.578,3.446,3.642,3.791,4.094,4.232,4.493,4.44,4.715,4.979,5.289,5.222,5.332,5.389,5.7,5.422,5.024,4.856,4.788,4.444,4.311,4.155,4.209,4.297,4.475,4.258,4.304,4.137
Cuba,2.798,2.546,1.918,1.837,1.973,2.097,2.133,2.258,2.201,2.207,2.317,2.258,2.279,2.31,2.242,2.17,2.193,2.154,2.501,2.529,3.046,2.619,2.642,2.484,2.427,2.588,2.486,2.223,1.994,1.987,1.779
Curacao,31.527,25.233,20.821,32.196,31.002,30.946,29.338,31.238,1.758,13.424,36.2,37.355,36.382,36.593,38.307,37.552,38.348,41.98,39.112,38.82,26.054,32.557,37.702,35.1,40.448,43.322,36.013,27.324,23.526,23.014,20.323
Cyprus,6.068,6.565,6.89,7.034,7.168,6.865,7.124,7.081,7.271,7.423,7.548,7.284,7.353,7.623,7.72,7.741,7.826,7.992,8.057,7.712,7.28,6.922,6.398,5.754,6.031,6.004,6.301,6.377,6.172,6.124,5.38
Czechia,15.879,14.391,13.969,13.383,12.776,12.705,13.039,12.645,12.138,11.315,12.355,12.367,12.089,12.444,12.517,12.252,12.283,12.388,11.798,10.988,11.162,10.899,10.518,10.062,9.828,9.892,10.047,10.113,9.951,9.431,8.215
Democratic Republic of Congo,0.123,0.087,0.075,0.069,0.042,0.051,0.054,0.043,0.037,0.029,0.019,0.016,0.017,0.02,0.022,0.026,0.027,0.029,0.03,0.027,0.03,0.036,0.034,0.05,0.063,0.037,0.026,0.03,0.033,0.031,0.028
Denmark,10.421,12.452,11.288,11.68,12.413,11.772,14.244,12.401,11.55,11.018,10.165,10.429,10.337,11.254,10.194,9.5,10.916,9.992,9.316,8.833,8.852,7.92,7.1,7.404,6.628,6.188,6.48,6.061,6.028,5.353,4.522
Djibouti,0.466,0.471,0.488,0.486,0.471,0.494,0.455,0.499,0.565,0.55,0.511,0.5,0.535,0.555,0.527,0.529,0.516,0.573,0.61,0.553,0.615,0.554,0.561,0.63,0.432,0.489,0.43,0.427,0.405,0.413,0.356
Dominica,0.832,0.833,0.831,0.88,0.928,1.134,1.033,1.142,1.096,1.154,1.473,1.578,1.469,1.672,2.03,2.025,2.021,2.588,2.328,2.276,2.43,2.17,2.324,2.373,2.474,2.471,2.518,2.256,2.251,2.191,1.934
Dominican Republic,1.253,1.312,1.406,1.485,1.535,1.932,2.073,2.136,2.166,2.136,2.242,2.226,2.401,2.412,1.931,1.972,2.073,2.141,2.15,2.066,2.12,2.172,2.14,2.116,2.145,2.285,2.37,2.284,2.418,2.563,2.56
Ecuador,1.609,1.543,2.049,2.198,1.208,1.98,2.053,1.523,1.829,1.717,1.622,1.776,1.883,2.001,2.117,2.168,2.055,2.356,2.034,2.2,2.32,2.453,2.401,2.506,2.709,2.514,2.396,2.34,2.22,2.116,1.753
Egypt,1.34,1.346,1.363,1.541,1.384,1.522,1.471,1.657,1.835,1.844,2.039,1.772,1.76,2.011,2.011,2.185,2.29,2.376,2.446,2.504,2.427,2.52,2.415,2.341,2.451,2.371,2.479,2.598,2.314,2.25,2.086
El Salvador,0.47,0.59,0.612,0.724,0.811,0.888,0.776,0.942,0.988,0.956,0.963,0.988,1.018,1.074,1.038,1.041,1.105,1.121,1.044,1.025,1.022,1.046,1.038,0.973,0.977,1.055,1.046,0.942,0.992,1.062,0.944
Equatorial Guinea,0.149,0.152,0.148,0.15,0.161,0.17,0.249,0.567,0.472,0.699,1.016,4.693,11.82,11.595,13.896,10.725,9.061,6.796,7.108,5.998,7.21,9.59,8.897,10.756,9.961,9.272,9.371,9.735,8.565,7.574,7.317
Eritrea,,,,,0.335,0.373,0.409,0.368,0.266,0.275,0.264,0.264,0.242,0.273,0.283,0.272,0.188,0.188,0.134,0.159,0.157,0.173,0.186,0.189,0.191,0.19,0.191,0.206,0.233,0.239,0.204
Estonia,24.054,21.847,16.015,13.04,13.751,12.709,13.496,13.226,12.029,11.335,11.068,11.4,11.1,12.554,12.737,12.655,12.23,14.894,13.339,10.844,14.26,14.379,13.488,14.964,14.348,12.057,13.344,14.24,13.564,9.339,7.88
Eswatini,1.167,1.032,0.959,0.801,1.187,1.146,0.833,1.187,1.185,1.246,1.203,1.081,1.061,0.982,0.975,0.985,0.98,0.998,0.974,1.001,0.936,0.94,1.083,1.288,0.703,0.786,0.947,0.876,0.909,0.882,0.824
Ethiopia,0.062,0.06,0.057,0.056,0.04,0.044,0.048,0.049,0.05,0.048,0.052,0.063,0.063,0.068,0.07,0.065,0.068,0.072,0.077,0.076,0.072,0.082,0.087,0.102,0.122,0.126,0.138,0.143,0.148,0.146,0.128
EU-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,11.112,10.666,9.765,9.353,8.849,8.818,8.885,8.605,8.576,8.464,8.468,8.64,8.586,8.777,8.807,8.781,8.902,8.814,8.696,7.981,8.273,8.155,8.07,7.845,7.527,7.521,7.503,7.532,7.485,7.26,6.608
Europe (excl. EU-27),13.758,12.94,11.245,10.52,9.4,9.184,9.078,8.63,8.594,8.521,8.512,8.77,8.678,8.911,8.998,9.045,9.348,9.306,9.334,8.572,8.976,9.038,9.092,8.818,8.498,8.319,8.267,8.271,8.414,8.318,7.742
Europe (excl. EU-28),14.516,13.481,11.461,10.631,9.271,9.043,8.83,8.387,8.326,8.269,8.237,8.528,8.489,8.74,8.853,8.94,9.352,9.36,9.486,8.762,9.224,9.504,9.514,9.225,8.997,8.853,8.898,8.969,9.191,9.136,8.574
European Union (27),9.209,9.032,8.703,8.517,8.455,8.556,8.747,8.588,8.563,8.424,8.437,8.549,8.522,8.684,8.677,8.602,8.598,8.48,8.264,7.58,7.796,7.556,7.377,7.184,6.867,6.977,6.983,7.028,6.852,6.539,5.836
European Union (28),9.365,9.222,8.897,8.7,8.634,8.703,8.912,8.715,8.7,8.561,8.582,8.694,8.633,8.795,8.786,8.706,8.688,8.556,8.326,7.616,7.83,7.528,7.4,7.205,6.846,6.904,6.858,6.868,6.7,6.397,5.706
Faeroe Islands,14.88,13.918,13.873,12.589,12.547,12.528,13.171,12.883,13.513,13.574,14.738,16.215,15.359,15.447,15.703,15.122,14.183,14.403,13.178,12.031,13.183,11.877,12.33,13.539,12.451,12.657,13.082,14.633,14.959,15.121,13.996
Fiji,1.104,0.901,0.996,0.984,0.964,0.974,1.038,0.988,0.952,0.961,1.027,1.285,1.079,1.271,1.64,1.317,1.453,1.364,1.04,0.912,1.398,1.237,1.205,1.269,1.436,1.49,1.444,1.552,1.53,1.564,1.554
Finland,11.402,11.004,10.76,11.11,12.107,11.358,12.47,12.174,11.496,11.378,10.994,12.025,12.479,13.9,13.155,10.848,12.959,12.603,11.019,10.471,11.947,10.513,9.461,9.511,8.724,8.051,8.591,8.102,8.302,7.691,7.091
France,6.935,7.329,7.122,6.757,6.616,6.678,6.936,6.789,7.082,7.01,6.878,6.913,6.789,6.837,6.807,6.798,6.597,6.391,6.237,5.894,5.989,5.595,5.6,5.596,5.077,5.119,5.158,5.197,4.96,4.851,4.238
French Equatorial Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,6.129,6.627,6.474,6.655,5.716,5.178,4.136,3.734,4.266,3.283,3.082,3.275,2.833,3.452,3.225,2.93,2.418,2.778,2.62,3.366,3.057,2.996,2.899,2.78,2.713,2.691,2.682,2.562,2.47,2.504,2.439
